Bidet_Source_ID,Bidet_Name,Prior_Proposed_Restroom_Match,Prior_Proposed_Restroom_Name,Final_Decision,Final_Restroom_Source_ID,Parent_Venue,Evidence,Human_Resolution,Canonical_Name,Canonical_Latitude,Canonical_Longitude,Row_Action,Review_Scope
bidet_survey_bc9693cc116164c987f3,La Mensa Bar Lounge,way/1344461182,La Mensa Bar,retain_as_distinct_restroom_unit_with_parent,,,Authoritative human finding: La Mensa Bar Lounge and OSM La Mensa Bar are separate nearby entities; proximity and name overlap do not establish identity.,Yes,La Mensa Bar Lounge,9.3203894,123.3100319,retained_separately,previously_unresolved_manual_review
bidet_survey_2d16f1cb0449feea8189,Sans Rival Marina Town (Filinvest Mall),relation/18336150,Filinvest Mall Dumaguete,retain_as_distinct_restroom_unit_with_parent,relation/18336150,Filinvest Mall Dumaguete,"Authoritative human finding: the survey identifies the Sans Rival tenant inside Filinvest Mall, not the mall itself.",Yes,Sans Rival Marina Town (Filinvest Mall),9.32271,123.31208,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_821a5f0696d46752b2a3,Harold's Dive Center,way/367368843,Harold's Mansion,retain_as_distinct_restroom_unit_with_parent,way/367368843,Harold's Mansion,Authoritative human finding: the dive center is a distinct entity inside the Harold's Mansion building.,Yes,Harold's Dive Center,9.316313,123.307312,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_def358baad9ed1bad905,Brain Brew,way/367368843,Harold's Mansion,retain_as_distinct_restroom_unit_with_parent,way/367368843,Harold's Mansion,Authoritative human finding: Brain Brew is a distinct entity inside the Harold's Mansion building.,Yes,Brain Brew,9.31645,123.30738,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_5d195ab19514c0c24f56,Silliman University Cafeteria,relation/13548131,Silliman University,retain_as_distinct_restroom_unit_with_parent,relation/13548131,Silliman University,Authoritative human finding: this is a distinct surveyed restroom-access unit within the Silliman campus.,Yes,Silliman University Cafeteria,9.31145,123.30765,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_d692851e63a7f51d21ca,Silliman University College of Arts and Sciences,relation/13548131,Silliman University,retain_as_distinct_restroom_unit_with_parent,relation/13548131,Silliman University,Authoritative human finding: this is a distinct surveyed restroom-access unit within the Silliman campus.,Yes,Silliman University College of Arts and Sciences,9.31207,123.30677,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_8335e3b14d870cabe9a6,Silliman University College of Business Administration (PWD Stalls),relation/15027272,Silliman University,retain_as_distinct_restroom_unit_with_parent,relation/15027272,Silliman University,Authoritative human finding: the CBA PWD stalls are a distinct surveyed restroom-access unit within the Silliman campus.,Yes,Silliman University College of Business Administration (PWD Stalls),9.31268,123.30724,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_f280ca8e8b602f8ca969,Silliman University Library,relation/15027272,Silliman University,retain_as_distinct_restroom_unit_with_parent,relation/15027272,Silliman University,Authoritative human finding: the library is a distinct surveyed restroom-access unit within the Silliman campus.,Yes,Silliman University Library,9.31363,123.30634,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_de3f2d1d76f0403fed25,Silliman University Senior High School Building,relation/15027272,Silliman University,retain_as_distinct_restroom_unit_with_parent,relation/15027272,Silliman University,Authoritative human finding: the Senior High School building is a distinct surveyed restroom-access unit within the Silliman campus.,Yes,Silliman University Senior High School Building,9.3143,123.30535,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_9cff0ffca1e9d5c354a1,Ceres Bus Terminal Restrooms,node/11378919787,Dumaguete Transport Terminal,retain_as_distinct_restroom_unit_with_parent,node/11378919787,Dumaguete Transport Terminal,"The survey identifies a specific terminal restroom unit; OSM identifies the broader bus terminal. Current sources place Ceres Terminal in Calindagan, but the 137.7 m offset does not justify collapsing the child into the terminal centroid.",No—evidence adjudication,Ceres Bus Terminal Restrooms,9.299688,123.305641,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_558e197ad39d5246d922,Freedom Park,node/12677967381,Unnamed public toilet,merge_with_restroom_record,node/12677967381,Ninoy Aquino Freedom Park,"The OSM feature is an explicit public toilet with toilets:bidet=yes only 10.9 m from the verified survey coordinate at Freedom Park; identity, facility type, bidet evidence, and geometry agree.",No—evidence adjudication,Freedom Park,9.3138129,123.3025817,merged_survey_into_restroom_record,previously_unresolved_manual_review
bidet_survey_93ac60c2d197e9fa0f6f,Traffic Management Office - City Government of Dumaguete,way/105430120,Dumaguete City Hall,retain_as_distinct_restroom_unit_with_parent,way/105430120,Dumaguete City Hall,The survey identifies the specific Traffic Management Office at the City Hall address; OSM identifies the broader City Hall building. The office must remain a distinct child rather than being absorbed into the town hall centroid.,No—evidence adjudication,Traffic Management Office - City Government of Dumaguete,9.305687,123.308562,linked_to_parent_and_retained_separately,previously_unresolved_manual_review
bidet_survey_7109da7346468fd8779d,Antwet Backpacker's Inn & Rooftop Bar,node/6362522489,Antwet Backpackers Hostel,source_data_coordinate_issue,node/6362522489;node/6318882185,,"OSM splits the same unusual Antwet brand into hostel and rooftop-bar POIs sharing email/phone, but they are 439.6–467.1 m from the survey coordinate. Current sources support Capitol Area identity while OSM tags Veterans Avenue; preserve the survey entity and coordinates until the source discrepancy is field-checked.",No—evidence adjudication,Antwet Backpacker's Inn & Rooftop Bar,9.313813,123.30012,retained_separately_with_disputed_osm_context,previously_unresolved_manual_review
bidet_survey_a093dc295b2a88fec80a,CityMall Dumaguete,way/340651393,CityMall Dumaguete,reconfirmed_auto_match,way/340651393,,"Reconfirmed automatic match: exact branded mall identity, matching Dumaguete/Daro context, and a large retail-building centroid explain the 78.4 m survey-to-OSM offset. Survey name and coordinates remain canonical.",No—required distance audit,CityMall Dumaguete,9.32375,123.29868,existing_merge_reconfirmed_no_structural_change,supplemental_unusually_distant_auto_match_audit
